Genome	X4_cov.Mean	X1_cov.Mean	X2_cov.Mean	X3_cov.Mean	X104_cov.Mean
bin.0112	6.948512	14.911528	19.95657	7.11906	4.8029895
bin.0113	6.353498	8.044964	15.432269	5.8091793	3.9849732
bin.0114	6.999754	10.181251	11.978087	4.3713217	2.7416906
bin.0115	4.048087	4.18387	6.443328	2.2300894	1.5296253
bin.0116	2.5297325	3.7853992	5.7900715	2.1132805	1.3311088
bin.0117	6.1290426	5.8129153	12.251032	4.4333234	3.502461
bin.0118	12.047574	10.988694	32.891533	11.576589	9.7175255
bin.0119	17.070148	17.20968	26.90199	10.31934	7.1739726
bin.0120	5.757998	8.376897	8.782044	3.4921358	2.1783712
bin.0121	10.639381	13.872102	17.885883	7.035684	5.323549
bin.0122	4.881961	6.1913314	11.338951	4.3637815	2.8487399
bin.0123	9.445523	11.076609	19.347002	7.2093725	5.070507
bin.0124	4.4118176	5.401049	9.834599	3.695049	2.717805
bin.0125	262.0843	215.63657	783.33795	282.45352	255.03644
bin.0126	3.2926738	4.3174767	6.567637	2.5608819	1.1602341
bin.0127	9.1646805	9.147851	19.408083	7.1516857	5.3123913
bin.0128	4.8221745	5.46153	13.549357	4.8498163	3.6530375
bin.0129	5.356311	7.7146955	9.472414	3.68298	1.9467616
bin.0130	24.920893	32.91306	58.511513	21.878496	16.197382
bin.0131	58.401314	29.920393	166.91257	61.27005	60.346508
bin.0132	91.80908	123.91043	202.10446	76.49686	52.952763
bin.0133	52.3449	7.628757	156.39784	58.228058	73.93057
bin.0134	35.733543	36.563713	64.75373	24.511978	17.230371
bin.0135	7.809477	7.0069146	15.218752	5.8319163	5.5669575
bin.0136	2.7208164	4.2396016	4.308488	1.7960969	1.0657114
bin.0137	3.428995	4.4712205	6.9897823	2.6367416	2.1867
bin.0138	3.4351146	4.9457827	7.9141846	2.948997	1.8777964
bin.0139	1.9565476	3.2624705	5.5175242	1.902554	1.7319444
bin.0140	7.9484944	12.435933	21.192013	7.8223186	5.3686967
bin.0141	4.2667427	5.675757	8.775509	3.2553585	1.7204505
bin.0142	43.32396	70.355896	84.30302	32.296234	19.01208
bin.0143	10.699337	17.782011	24.272284	9.034899	6.2896647
bin.0144	24.417704	13.640801	79.87256	28.001675	24.848648
bin.0145	18.54713	28.990307	32.54019	12.901484	12.83628
bin.0146	10.524251	11.686584	19.009329	7.0285883	6.1295295
bin.0147	2.0462077	4.171992	6.7781734	2.3356345	1.6955552
bin.0148	2.6554766	3.5632162	4.8464475	1.7866141	1.4173474
bin.0149	121.27194	75.40344	544.44366	190.66287	175.08443
bin.0150	2.093358	3.2685015	3.961732	1.5261774	0.87233907
bin.0151	16.659437	14.675063	38.69649	14.449104	12.961674
bin.0152	44.91826	85.59959	119.60531	44.910492	33.24875
bin.0153	3.8197322	3.3323681	20.042273	6.4732237	4.680483
bin.0154	8.953999	4.8771954	38.823414	13.337125	13.164539
bin.0155	16.276667	25.418995	48.165756	16.996439	11.575655
bin.0156	55.28065	70.33012	117.57011	45.71497	46.245335
bin.0157	6.9662848	11.727439	18.270437	6.9610395	4.573
bin.0158	15.010426	22.105917	67.29076	23.918577	20.363836
bin.0159	7.3932257	10.928031	18.06107	6.549022	5.0092993
bin.0160	7.2866917	5.001892	17.60639	6.627393	7.399985
bin.0161	9.022629	13.400768	15.256426	5.7147775	3.7314403
bin.0162	5.0336785	6.54987	10.016302	3.7028885	2.484002
bin.0163	2.6767502	4.80954	5.974968	2.4602168	1.2704145
bin.0164	20.42351	16.805473	48.05275	17.359198	16.906204
bin.0165	3.6687717	5.4490438	9.728755	3.6122375	2.649391
bin.0166	6.311061	6.132415	13.286692	4.723258	3.5659094
bin.0167	40.136234	25.625257	100.16249	37.69776	36.902534
bin.0168	7.812438	9.051611	17.993595	6.7375154	5.2647953
bin.0169	3.075058	3.98717	5.4110374	1.9897945	1.0259229
bin.0170	5.0090976	4.9178452	9.736126	3.672438	3.5719495
bin.0171	324.382	157.17111	1397.617	476.56412	430.8766
bin.0172	3.157293	3.823412	8.670777	3.2051914	2.054987
bin.0173	6.1223793	9.270575	11.359816	4.045582	2.484003
bin.0174	30.763744	38.42716	56.882557	21.666965	14.331636
bin.0175	4.4846454	4.128789	9.845317	3.7274585	2.97843
bin.0176	25.309729	31.649647	45.429184	17.622612	9.934379
bin.0177	34.18258	20.079174	167.21693	57.19865	55.754078
bin.0178	6.0965343	4.8355594	25.906439	8.821796	8.556239
bin.0179	53.39511	83.93097	95.807205	36.774803	20.597849
bin.0180	41.49689	44.227215	81.187805	30.03603	20.034214
bin.0181	15.457135	15.907362	30.309267	11.4400015	7.4236994
