Genome	X2_cov.Relative.Abundance....	X4_cov.Relative.Abundance....	X1_cov.Relative.Abundance....	X3_cov.Relative.Abundance....	X104_cov.Relative.Abundance....
bin.0121	0.20142284	0.15317702	0.20717064	0.21032228	0.19679704
bin.0122	0.046085574	0.062030658	0.034848556	0.033943493	0.028252663
bin.0123	0.48839533	0.6607955	0.6143141	0.60634017	0.62282956
bin.0124	0.7084182	0.39075947	1.3533092	1.2718004	1.5230794
bin.0125	0.43106574	0.33793348	0.38812855	0.3896665	0.47242707
bin.0126	0.5138342	0.661815	0.7217275	0.6909277	0.70032495
bin.0127	0.060877047	0.063896865	0.044133175	0.041112967	0.028134933
bin.0128	0.024478767	0.012937657	0.036563437	0.030190602	0.032642655
bin.0129	0.11904533	0.08137085	0.19696082	0.18423404	0.216897
bin.0130	0.14568499	0.18988153	0.098746344	0.09844782	0.07501976
bin.0131	0.27577576	0.21760972	0.22679529	0.24038991	0.24251771
bin.0132	0.074853525	0.054391112	0.061849345	0.059765328	0.05956692
bin.0133	0.38294402	0.5064033	0.27597833	0.284754	0.22668138
bin.0134	0.05411814	0.081882	0.047465082	0.051959038	0.03300115
bin.0135	0.23954542	0.18613987	0.25768793	0.24961397	0.25791433
bin.0136	0.12039618	0.07173094	0.10893065	0.11441329	0.121590845
bin.0137	0.12607634	0.093006335	0.13841163	0.14020514	0.1351952
bin.0138	0.21666628	0.15142883	0.22878791	0.22649555	0.29908562
bin.0139	0.037908144	0.03479211	0.038900733	0.03265393	0.026548991
bin.0140	0.6466909	0.75151736	0.46895996	0.4937558	0.39908183
bin.0141	0.5930549	0.5501924	0.4571826	0.4998549	0.5180441
bin.0142	0.100969546	0.09710465	0.10979569	0.107373685	0.1004175
bin.0143	0.20185581	0.28055564	0.16522792	0.16792107	0.096318714
bin.0144	0.1649499	0.19951926	0.121106	0.13055581	0.10134132
bin.0145	0.04227035	0.020003231	0.04426513	0.04059134	0.061655376
bin.0146	0.31912497	0.4563554	0.36785936	0.35914293	0.2979659
bin.0147	0.03754636	0.028670773	0.038052674	0.034072746	0.031660754
bin.0148	0.13783114	0.1457253	0.10553644	0.111854345	0.09424593
bin.0149	0.03480158	0.037710343	0.03400434	0.029906902	0.013650798
bin.0150	0.06396884	0.04744519	0.053466976	0.054906506	0.05906352
bin.0151	0.047039576	0.053343367	0.046602234	0.043024495	0.04343407
bin.0152	1.9159226	2.284497	1.620658	1.6974444	1.4283322
bin.0153	0.151333	0.15782912	0.13647401	0.13827723	0.13286515
bin.0154	0.18620184	0.22874485	0.16565175	0.16462277	0.16840371
bin.0155	0.3537361	0.28447044	0.31742573	0.3275382	0.35688642
bin.0156	0.043930523	0.09761295	0.046712857	0.05069942	0.045973536
bin.0157	0.4822182	0.54990494	0.33609816	0.35940796	0.2458804
bin.0158	0.028576294	0.015331581	0.036886234	0.0253223	0.026382854
bin.0159	0.07201456	0.0675055	0.0731464	0.07835483	0.08980372
bin.0160	1.3219199	1.203487	1.0659404	1.1112093	1.0748016
bin.0161	0.18107015	0.26821527	0.1853966	0.19519074	0.16459528
bin.0162	0.23289926	0.36906126	0.20782922	0.21128461	0.18119077
bin.0163	0.31634054	0.28810033	0.23857738	0.24505302	0.19610238
bin.0164	0.029224005	0.028770665	0.03612604	0.030161388	0.025501674
bin.0165	3.9415493	3.1935546	3.8544443	3.9346533	4.040146
bin.0166	1.3377359	0.6226431	1.4879053	1.5102755	1.8057162
bin.0167	1.3123562	1.823216	1.0698649	1.1196256	0.75617516
bin.0168	0.27924773	0.18489508	0.4513693	0.42006806	0.44496056
bin.0169	0.1267213	0.0838637	0.14203939	0.14639379	0.14455919
bin.0170	0.029107751	0.013140431	0.040298488	0.037108593	0.038260937
bin.0171	0.043531157	0.069542564	0.041108016	0.039204698	0.027758306
bin.0172	1.0029656	1.4434222	0.7313266	0.7725206	0.55719125
bin.0173	0.06033458	0.05277189	0.048434794	0.044097725	0.049866315
bin.0174	0.04587629	0.034339137	0.043904133	0.039956585	0.04255859
bin.0175	0.045176946	0.041026235	0.039805684	0.034099486	0.034572043
bin.0176	0.815017	0.86813444	0.58061284	0.6228368	0.536703
bin.0177	0.06003582	0.1030328	0.05743758	0.05782271	0.049844015
bin.0178	0.03923599	0.042345975	0.037297558	0.03471816	0.027797641
bin.0179	0.66804653	0.3039628	0.8002468	0.7918058	0.88580245
bin.0180	0.15371624	0.14499694	0.114562936	0.12244952	0.10703209
bin.0181	0.05105977	0.045661665	0.04264781	0.040600505	0.034164734
bin.0182	1.6055324	1.7832346	1.1698127	1.2227043	0.9886105
bin.0183	0.1559986	0.06210758	0.21656668	0.2023071	0.2485743
bin.0184	0.037017263	0.025154212	0.044815466	0.04131898	0.025391765
