Genome	X2_cov.Mean	X4_cov.Mean	X1_cov.Mean	X3_cov.Mean	X104_cov.Mean
bin.0165	198.39108	173.59338	493.28424	182.53957	152.81412
bin.0166	67.33263	33.845272	190.41922	70.0659	68.29925
bin.0167	66.05518	99.105316	136.91922	51.94256	28.601503
bin.0168	14.055452	10.05042	57.765366	19.48813	16.830149
bin.0169	6.3782973	4.5586143	18.177925	6.7916174	5.467794
bin.0170	1.4650884	0.71427995	5.157322	1.7215712	1.4471782
bin.0171	2.1910658	3.7801547	5.2609234	1.8188156	1.0499277
bin.0172	50.48254	78.46071	93.59375	35.83939	21.075153
bin.0173	3.0368366	2.8685439	6.1985908	2.0458167	1.8861393
bin.0174	2.309104	1.8665868	5.618766	1.8536977	1.6097325
bin.0175	2.2739036	2.2300804	5.094254	1.5819703	1.30765
bin.0176	41.022472	47.189545	74.3057	28.895142	20.300207
bin.0177	3.021799	5.6005974	7.350749	2.6825573	1.8852956
bin.0178	1.9748759	2.301818	4.7732687	1.6106725	1.0514156
bin.0179	33.62497	16.522633	102.41402	36.734085	33.504513
bin.0180	7.737041	7.8816595	14.661542	5.680775	4.0483723
bin.0181	2.5700054	2.4820504	5.4579835	1.8835708	1.2922438
bin.0182	80.8117	96.93203	149.71034	56.72467	37.393116
bin.0183	7.85192	3.376008	27.71578	9.3855915	9.402052
bin.0184	1.8632001	1.3673182	5.735396	1.9169029	0.96041596
bin.0185	2.7284665	3.373071	6.690708	2.2361526	1.5380259
bin.0186	21.856453	19.846626	43.977776	16.450632	13.39064
bin.0187	15.147714	16.750278	29.019613	11.3321295	8.335724
bin.0188	44.92335	85.692345	119.52859	44.910736	33.15459
bin.0189	2.9822738	2.9693573	8.812081	3.1470468	1.9738524
bin.0190	15.16872	14.518115	31.470463	12.004597	11.183169
bin.0191	2.6877737	2.5401957	13.461855	4.8945084	4.4294724
bin.0192	2.138522	2.845205	5.8090863	1.9743607	1.3225137
bin.0193	6.019589	5.501766	11.84331	4.2447424	3.257859
bin.0194	2.6463377	3.0881948	5.2246237	1.7295567	1.395186
bin.0195	25.532387	33.73315	58.959522	21.883778	16.406185
bin.0196	0.9835431	0.2487965	4.5649014	1.2253126	0.9656544
bin.0197	6.393364	9.248881	11.831398	4.1375837	2.5659277
bin.0198	6.5189877	8.84802	14.063022	5.5549045	4.208502
bin.0199	337.72955	159.06656	1449.83	493.24692	445.38843
bin.0200	3.5800273	3.6850517	8.8780365	2.9532862	1.8793149
bin.0201	10.669612	13.946669	18.079184	7.099057	5.3420615
bin.0202	2.7688394	2.7039514	5.986562	2.1317055	2.0088747
bin.0203	148.83305	173.29012	296.67715	112.26603	84.74043
bin.0204	11.438885	11.29153	21.069412	8.192625	6.2951756
bin.0205	2.07748	3.7665153	6.351116	2.1216187	1.4072707
bin.0206	1.9314148	1.4704033	5.8222504	1.9773747	2.2858486
bin.0207	5.4355826	8.077479	8.385467	3.3407722	1.9923183
bin.0208	5.2327724	6.008908	12.943571	4.929941	3.6958632
bin.0209	3.470103	2.496804	17.761845	5.7953563	4.1627116
bin.0210	3.2774546	3.7109475	6.856737	2.656732	2.3670194
bin.0211	6.6274366	7.6643724	14.557651	5.621424	3.9430597
